KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001142001,T001142002,T001142003,T001142004,T001142005,T001142006,T001142007,T001142008,T001142009,T001142010,T001142011,T001142012,T001142013,T001142014,T001142015,T001142016,T001142017,T001142018,T001142019,T001142020,T001142021,T001142022,T001142023,T001142024,T001142025,T001142026,T001142027,T001142028,T001142029,T001142030,T001142031,T001142032,T001142033,T001142034,T001142035,T001142036,T001142037,T001142038,T001142039,T001142040,T001142041,T001142042,T001142043,T001142044,T001142045,T001142046,T001142047,T001142048,T001142049,T001142050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
5438000041,2,5438001044,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000313,2,5438000331,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000322,1,,5438000411;5438000414,12,4,8,0,0,0,17,8,9,6,3,3,17,8,9,17,8,9,11,5,6,8,3,5,3,1,2,2,1,1,0,0,0,6,6,5,3,2,0,0,0,0,5,4,1,0,8,0,4,0
5438000331,1,,5438000313,13,6,7,0,0,0,17,7,10,8,3,5,17,7,10,16,7,9,9,4,5,4,2,2,1,0,1,0,0,0,0,0,0,6,6,1,3,2,1,0,0,0,6,6,0,0,5,0,1,3
5438000332,2,5438000334,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000334,1,,5438000332,11,5,6,1,1,0,16,7,9,6,4,2,16,7,9,16,7,9,10,3,7,7,3,4,4,1,3,0,0,0,1,0,1,4,4,4,3,1,1,0,0,0,5,2,3,1,8,0,3,1
5438000342,2,5438000343,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000343,1,,5438000342,17,10,7,1,1,0,22,12,10,8,5,3,22,12,10,21,11,10,14,7,7,10,5,5,5,3,2,1,1,0,0,0,0,9,9,3,6,0,2,0,0,0,8,7,1,0,9,0,2,3
5438000411,2,5438000322,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000414,2,5438000322,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000742,2,5438000744,,91,33,58,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438000743,0,,,37,15,22,3,2,1,34,13,21,17,6,11,31,13,18,31,13,18,17,7,10,9,4,5,2,0,2,0,0,0,0,0,0,15,15,3,6,3,2,1,0,0,12,10,2,0,11,0,1,4
5438000744,1,,5438000742,107,52,55,7,2,5,191,83,108,59,34,25,187,82,105,186,81,105,132,49,83,100,35,65,52,14,38,7,1,6,0,0,0,45,45,9,22,7,5,2,1,0,37,29,8,1,33,0,5,11
5438000823,0,,,74,40,34,12,8,4,62,32,30,34,19,15,57,28,29,56,28,28,28,13,15,15,7,8,4,2,2,0,0,0,0,0,0,23,23,3,10,2,1,3,2,2,20,16,4,1,18,0,3,6
5438000824,0,,,161,72,89,17,10,7,144,62,82,74,36,38,141,61,80,138,59,79,70,26,44,44,16,28,12,5,7,0,0,0,0,0,0,68,68,24,21,11,4,2,6,0,44,33,11,5,52,0,18,8
5438000831,0,,,40,20,20,4,3,1,36,17,19,18,8,10,33,15,18,33,15,18,18,9,9,7,4,3,2,0,2,0,0,0,1,0,1,15,15,2,9,0,1,2,1,0,13,12,1,1,10,0,2,7
5438000832,0,,,65,28,37,8,3,5,57,25,32,29,13,16,55,25,30,53,25,28,28,12,16,13,6,7,3,1,2,1,0,1,0,0,0,23,23,3,9,3,5,3,0,0,20,16,4,1,17,0,3,6
5438000833,0,,,100,50,50,10,4,6,90,46,44,45,24,21,87,44,43,87,44,43,45,22,23,28,14,14,8,2,6,2,1,1,3,2,1,43,43,15,13,7,4,3,0,1,28,20,8,2,29,1,8,8
5438000834,0,,,74,38,36,3,1,2,71,37,34,36,19,17,71,37,34,71,37,34,35,18,17,20,10,10,2,1,1,0,0,0,0,0,0,32,32,11,9,7,2,2,1,0,21,16,5,2,21,1,5,6
5438000841,0,,,150,76,74,17,8,9,133,68,65,94,50,44,130,67,63,128,66,62,39,18,21,14,7,7,4,2,2,1,1,0,1,1,0,60,60,16,22,9,7,3,2,1,42,37,5,7,26,2,7,8
5438000842,0,,,120,53,67,15,8,7,105,45,60,72,33,39,105,45,60,103,45,58,33,12,21,18,6,12,6,1,5,0,0,0,2,2,0,52,52,17,18,7,5,4,1,0,34,29,5,6,25,1,11,5
5438000843,0,,,70,35,35,10,4,6,59,31,28,39,21,18,58,30,28,55,28,27,20,10,10,7,4,3,3,2,1,0,0,0,0,0,0,25,25,3,11,3,5,2,1,0,22,20,2,2,12,0,1,5
5438000844,0,,,93,46,47,4,1,3,89,45,44,62,32,30,84,41,43,82,39,43,27,13,14,13,4,9,2,0,2,1,0,1,2,0,2,36,36,7,9,14,4,2,0,0,28,23,5,0,19,0,4,4
5438000911,0,,,57,30,27,5,4,1,52,26,26,32,17,15,52,26,26,52,26,26,20,9,11,10,4,6,3,2,1,0,0,0,0,0,0,23,23,5,7,6,5,0,0,0,17,15,2,3,14,0,5,2
5438000912,0,,,174,97,77,12,10,2,158,83,75,110,62,48,152,81,71,150,79,71,48,21,27,22,8,14,4,0,4,0,0,0,0,0,0,72,72,26,11,20,11,3,0,1,45,34,11,4,30,1,3,7
5438000913,0,,,356,133,223,73,36,37,283,97,186,221,73,148,259,89,170,249,82,167,62,24,38,23,9,14,6,3,3,0,0,0,30,11,19,160,160,46,60,31,18,5,0,0,114,105,9,27,47,0,19,13
5438000914,0,,,92,47,45,14,10,4,77,37,40,61,31,30,76,37,39,76,37,39,16,6,10,8,4,4,2,1,1,0,0,0,2,1,1,43,43,19,9,10,3,1,0,1,21,18,3,6,11,2,3,1
5438000921,0,,,125,61,64,18,10,8,105,50,55,69,34,35,102,48,54,101,48,53,36,16,20,13,7,6,5,3,2,0,0,0,0,0,0,51,51,16,14,10,5,5,1,0,34,30,4,6,25,0,5,8
5438000922,0,,,203,101,102,32,16,16,171,85,86,115,60,55,166,83,83,166,83,83,56,25,31,32,13,19,5,1,4,0,0,0,1,0,1,86,86,27,28,12,12,6,1,0,59,49,10,12,37,6,7,13
5438000923,0,,,133,69,64,25,14,11,108,55,53,88,47,41,101,50,51,99,48,51,20,8,12,10,2,8,4,1,3,0,0,0,7,7,0,47,47,12,11,9,9,2,2,2,35,31,4,9,14,6,2,3
5438000924,0,,,301,141,160,63,26,37,238,115,123,194,95,99,230,110,120,228,109,119,44,20,24,21,10,11,7,3,4,0,0,0,21,13,8,116,116,34,26,23,23,6,4,0,81,71,10,15,30,9,6,6
5438000931,0,,,89,37,52,21,9,12,68,28,40,56,23,33,65,27,38,63,27,36,12,5,7,10,4,6,3,1,2,0,0,0,0,0,0,30,30,3,6,14,5,1,0,1,27,26,1,9,8,0,3,2
