mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
54375776,20,20201,2021,12,1,0,16
54375776,20,20201,2021,12,1,1,12
54375776,20,20201,2021,12,1,2,10
54375776,20,20201,2021,12,2,0,14
54375796,20,20201,2021,12,0,0,79
54375796,20,20201,2021,12,0,2,53
54375796,20,20201,2021,12,1,0,49
54375796,20,20201,2021,12,1,1,11
54375796,20,20201,2021,12,1,2,24
54375796,20,20201,2021,12,2,0,57
54375796,20,20201,2021,12,2,2,32
54375797,20,20201,2021,12,0,0,37
54375797,20,20201,2021,12,0,1,80
54375797,20,20201,2021,12,0,2,51
54375797,20,20201,2021,12,1,0,15
54375797,20,20201,2021,12,1,1,27
54375797,20,20201,2021,12,1,2,23
54375797,20,20201,2021,12,2,0,21
54375797,20,20201,2021,12,2,1,40
54375797,20,20201,2021,12,2,2,30
54376708,20,20201,2021,12,1,0,12
54376708,20,20201,2021,12,1,1,14
54376708,20,20201,2021,12,1,2,15
54376708,20,20201,2021,12,2,1,10
54376708,20,20201,2021,12,2,2,11
54376717,20,20201,2021,12,1,1,21
54376717,20,20201,2021,12,2,1,15
54376718,20,20201,2021,12,0,0,10
54376725,20,20201,2021,12,1,0,16
54376725,20,20201,2021,12,2,0,12
54376727,20,20201,2021,12,1,1,33
54376727,20,20201,2021,12,1,2,14
54376727,20,20201,2021,12,2,1,25
54376727,20,20201,2021,12,2,2,11
54376734,20,20201,2021,12,1,1,19
54376734,20,20201,2021,12,2,1,14
54376736,20,20201,2021,12,0,0,30
54376736,20,20201,2021,12,0,1,30
54376736,20,20201,2021,12,0,2,21
54376736,20,20201,2021,12,1,0,19
54376736,20,20201,2021,12,1,2,10
54376736,20,20201,2021,12,2,0,22
54376736,20,20201,2021,12,2,2,13
54376737,20,20201,2021,12,1,0,15
54376737,20,20201,2021,12,2,0,13
54376745,20,20201,2021,12,0,0,36
54376745,20,20201,2021,12,0,1,15
54376745,20,20201,2021,12,0,2,21
54376745,20,20201,2021,12,1,0,18
54376745,20,20201,2021,12,1,1,15
54376745,20,20201,2021,12,1,2,11
54376745,20,20201,2021,12,2,0,23
54376745,20,20201,2021,12,2,1,15
54376745,20,20201,2021,12,2,2,13
54376747,20,20201,2021,12,0,0,12
54376747,20,20201,2021,12,0,2,10
54376747,20,20201,2021,12,1,0,36
54376747,20,20201,2021,12,1,1,14
54376747,20,20201,2021,12,1,2,27
54376747,20,20201,2021,12,2,0,30
54376747,20,20201,2021,12,2,1,11
54376747,20,20201,2021,12,2,2,22
54376757,20,20201,2021,12,0,0,12
54376757,20,20201,2021,12,0,2,11
54376757,20,20201,2021,12,1,0,19
54376757,20,20201,2021,12,1,1,17
54376757,20,20201,2021,12,1,2,26
54376757,20,20201,2021,12,2,0,18
54376757,20,20201,2021,12,2,1,12
54376757,20,20201,2021,12,2,2,22
54376758,20,20201,2021,12,0,0,273
54376758,20,20201,2021,12,0,1,299
54376758,20,20201,2021,12,0,2,284
