prefecture,city,number,address,name,lat,long,note
長野県,小諸市,1-1,甲1619-1,六道欅先塩川明宅畑,36.3122659,138.4303339,
長野県,小諸市,1-2,甲1135,小原区研修センター常設掲示板,36.3080433,138.4272961,
長野県,小諸市,1-3,甲1090-5,大池章生宅前常設掲示板,36.3088103,138.4253399,
長野県,小諸市,1-4,甲1574-1,県営住宅前バス停留所掲示板横,36.3150857,138.4312084,
長野県,小諸市,1-5,甲1466-13,東小諸区集会場フェンス,36.3149453,138.4333653,
長野県,小諸市,2-1,与良4丁目2545-3,与良公会堂フェンス,36.321623,138.431579,緯度経度は怪しい
長野県,小諸市,2-2,与良町1丁目2659-1,鶴谷クリーニング横,36.3233444,138.4303307,
長野県,小諸市,2-3,鶴巻1丁目2530-13,角張文雄宅フェンス,36.3237512,138.4283021,
長野県,小諸市,2-4,鶴巻1丁目2716-5,松井宅駐車場フェンス,36.3237512,138.4283021,
長野県,小諸市,2-5,甲4070-16,県営住宅集会所下の水路の上,36.328418,138.442233,
長野県,小諸市,2-6,甲3500-10,市住695号公衆電話に近い場所の柵沿い,36.3279228,138.4416858,
長野県,小諸市,2-7,紺屋町1丁目2976-1,海応院の上段駐車場入口,36.3278776,138.4290823,
長野県,小諸市,2-8,八幡町三丁目3162-1,旧観光開発センター前,36.3279717,138.4359486,
長野県,小諸市,2-9,八幡町1丁目2845,熊野神社西側,36.3264206,138.4309548,
長野県,小諸市,2-10,八幡町2丁目3218-1,NHK小諸放送局フェンス,36.3270641,138.4331395,
長野県,小諸市,2-11,赤坂1丁目783-1,旧県保証協会前植え込み北,36.3256148,138.4244013,
長野県,小諸市,2-12,甲1954,南町公民館前,36.3192276,138.4280757,緯度経度は怪しい
長野県,小諸市,3-1,松井4632-12,岩崎舒宅横のガードレール,36.3358584,138.4406306,緯度経度は怪しい
長野県,小諸市,3-2,松井4247-8,高速道側道の北側,36.3358584,138.4406306,緯度経度は怪しい
長野県,小諸市,3-3,己173-1,愛灯園合向いゴミ集積所のフェンス前,36.3455301,138.4528155,
長野県,小諸市,3-4,甲,天池公民館前,36.3532886,138.4484463,
長野県,小諸市,3-5,東雲2丁目3916-10,市営住宅遊園地西側土手,36.3308308,138.439382,
長野県,小諸市,3-6,東雲6丁目3756-3,噫集会場フェンス,36.3319086,138.4359486,
長野県,小諸市,3-7,東雲5丁目,東雲コミュニティセンターフェンス,36.3326331,138.4403184,
長野県,小諸市,3-8,八幡町3丁目3643-4,丸勝渡辺運輸上の畑,36.3279717,138.4359486,
長野県,小諸市,3-9,三和1丁目3015-9,小林陽子宅前,36.3299781,138.4293944,
長野県,小諸市,4-1,荒町1丁目2943-4,荒町一丁目交差点西側空地,36.3282097,138.4272099,
長野県,小諸市,4-2,荒町2丁目2780-1,桑原邦夫宅塀,36.3258517,138.4286142,
長野県,小諸市,4-3,赤坂1丁目657-1,市営第3駐車場前,36.3256148,138.4244013,
長野県,小諸市,4-4,相生町3丁目97-6,労働金庫交差点角,36.3279794,138.4253375,
長野県,小諸市,4-5,小諸駅前,市営駐車場フェンス,36.3274813,138.4217539,緯度経度は怪しい
長野県,小諸市,4-6,大手1丁目147,大手鹿島商店街案内看板前,36.3286434,138.4215928,
長野県,小諸市,4-7,古城1丁目266-2,中原美野夫宅前,36.3290429,138.4172245,
長野県,小諸市,4-8,古城1丁目324-4,懐古園三ノ門フェンス,36.3290429,138.4172245,
長野県,小諸市,4-9,古城2丁目578-1,山浦すず江宅車庫前,36.3251541,138.4206567,
長野県,小諸市,4-10,乙1189-1,総合体育館入口フェンス,36.3204243,138.4196296,
長野県,小諸市,4-11,本町2丁目1-1,遊子公園交差点寄りの木塀,36.3295661,138.4222364,
長野県,小諸市,4-12,乙1040-3,岡部和夫宅(清水豊彦宅前),36.3368396,138.4362217,
長野県,小諸市,5-1,六供2丁目264-2,旧純水館現在駐車場,36.3312858,138.427834,
長野県,小諸市,5-2,乙573-1,丸山児童遊園地,36.3380672,138.4300239,緯度経度は怪しい
